ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,churn_event,region_Zone1,region_Zone2,region_Zone3,marital_Married,ed_level,retire_Yes,gender_Male,voice_Yes,internet_Yes,forward_Yes,custcat_Basic service,custcat_E-service,custcat_Plus service,custcat_Total service,CLV,income_quartile,age_group,high_value,high_income,surv_prob_1year,churn_risk_1year
132,Zone 2,7,35,Married,0,47,Did not complete high school,No,Male,No,No,No,Basic service,Yes,1,0,1,0,1,1.0,0,1,0,0,0,True,False,False,False,1564.6109270857667,Q2,30-40,0,0,0.8653876539193885,0.13461234608061146
133,Zone 1,56,47,Married,19,65,High school degree,No,Male,Yes,No,Yes,Total service,No,0,1,0,0,1,2.0,0,1,1,0,1,False,False,False,True,2130.3153503158546,Q3,40-50,1,1,0.9839728814185299,0.0160271185814701
134,Zone 1,50,50,Married,22,150,Post-undergraduate degree,No,Female,Yes,Yes,Yes,E-service,Yes,1,1,0,0,1,4.0,0,0,1,1,1,False,True,False,False,1973.7178346336293,Q4 (High),40-50,0,1,0.9587992947927244,0.04120070520727559
135,Zone 2,57,39,Unmarried,6,106,Post-undergraduate degree,No,Male,No,No,Yes,Plus service,No,0,0,1,0,0,4.0,0,1,0,0,1,False,False,True,False,1706.3117538044175,Q4 (High),30-40,0,1,0.9031152209446015,0.0968847790553985
136,Zone 3,2,40,Unmarried,19,51,College degree,No,Female,Yes,Yes,No,Basic service,No,0,0,0,1,0,3.0,0,0,1,1,0,True,False,False,False,1086.5292332494644,Q3,30-40,0,1,0.6789567511776532,0.3210432488223468
137,Zone 2,40,38,Unmarried,17,96,College degree,No,Female,No,No,No,Basic service,No,0,0,1,0,0,3.0,0,0,0,0,0,True,False,False,False,1598.4128279626561,Q4 (High),30-40,0,1,0.8749870080869571,0.12501299191304294
138,Zone 2,6,43,Unmarried,4,33,Post-undergraduate degree,No,Male,No,No,Yes,Plus service,No,0,0,1,0,0,4.0,0,1,0,0,1,False,False,True,False,1736.1288086971317,Q2,40-50,0,0,0.9102578832166222,0.08974211678337785
139,Zone 3,23,25,Married,6,38,High school degree,No,Female,No,No,Yes,Plus service,No,0,0,0,1,1,2.0,0,0,0,0,1,False,False,True,False,1924.7483820413645,Q2,<30,0,0,0.9499044677420119,0.05009553225798813
140,Zone 3,11,32,Unmarried,6,125,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,0,0,1,0,3.0,0,1,1,1,1,False,False,False,True,1161.7949690063822,Q4 (High),30-40,0,1,0.7154871343670259,0.28451286563297407
141,Zone 1,29,37,Married,13,145,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,1,0,0,1,4.0,0,0,1,1,1,False,False,False,True,1582.5525410332502,Q4 (High),30-40,0,1,0.8705319634315897,0.12946803656841033
142,Zone 1,42,44,Married,2,99,High school degree,No,Male,No,No,No,Plus service,No,0,1,0,0,1,2.0,0,1,0,0,0,False,False,True,False,2047.604629582848,Q4 (High),40-50,0,1,0.9712656367749305,0.028734363225069504
143,Zone 1,20,34,Married,2,22,College degree,No,Female,No,Yes,Yes,Total service,No,0,1,0,0,1,3.0,0,0,0,1,1,False,False,False,True,1600.538791652103,Q1 (Low),30-40,0,0,0.8755776710597313,0.12442232894026872
144,Zone 2,72,60,Married,21,31,Did not complete high school,Yes,Male,No,No,No,E-service,No,0,0,1,0,1,1.0,1,1,0,0,0,False,True,False,False,2220.566687599367,Q2,50+,1,0,0.9964850962854442,0.0035149037145557616
145,Zone 1,2,36,Unmarried,3,25,Did not complete high school,No,Female,No,No,Yes,Plus service,No,0,1,0,0,0,1.0,0,0,0,0,1,False,False,True,False,1888.5161278397024,Q1 (Low),30-40,0,0,0.9429759942468002,0.05702400575319977
146,Zone 3,46,25,Unmarried,5,57,Post-undergraduate degree,No,Female,No,Yes,Yes,Basic service,No,0,0,0,1,0,4.0,0,0,0,1,1,True,False,False,False,562.3613016770461,Q3,<30,0,1,0.34346860825301967,0.6565313917469804
147,Zone 2,39,51,Married,21,41,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,1,0,1,4.0,0,1,1,1,1,False,False,False,True,1930.9545755016077,Q2,50+,0,0,0.9510610774835788,0.04893892251642118
149,Zone 3,59,43,Married,4,101,High school degree,No,Female,No,No,No,E-service,No,0,0,0,1,1,2.0,0,0,0,0,0,False,True,False,False,2132.8496402729884,Q4 (High),40-50,1,1,0.9843428017506485,0.015657198249351523
150,Zone 1,65,37,Unmarried,8,56,High school degree,No,Male,No,No,No,E-service,No,0,1,0,0,0,2.0,0,1,0,0,0,False,True,False,False,1967.8136709815467,Q3,30-40,0,1,0.9577545089822727,0.042245491017727343
151,Zone 2,50,27,Married,5,22,High school degree,No,Female,No,No,No,Basic service,No,0,0,1,0,1,2.0,0,0,0,0,0,True,False,False,False,1457.2450265636833,Q1 (Low),<30,0,0,0.8321521374990418,0.16784786250095818
152,Zone 1,57,37,Unmarried,11,108,College degree,No,Female,No,Yes,No,Plus service,No,0,1,0,0,0,3.0,0,0,0,1,0,False,False,True,False,1596.3387204184428,Q4 (High),30-40,0,1,0.8744092783710894,0.1255907216289106
153,Zone 3,61,48,Unmarried,14,115,College degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,0,1,0,3.0,0,0,1,1,1,False,False,False,True,1739.5435724160143,Q4 (High),40-50,0,1,0.9110594488934173,0.08894055110658272
154,Zone 3,34,54,Unmarried,31,53,College degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,0,1,0,3.0,0,1,1,1,1,False,False,False,True,2034.6114386104011,Q3,50+,0,1,0.969152758241504,0.030847241758495958
155,Zone 3,38,53,Unmarried,13,242,College degree,No,Male,Yes,No,Yes,Total service,No,0,0,0,1,0,3.0,0,1,1,0,1,False,False,False,True,2019.8273412036356,Q4 (High),50+,0,1,0.9667082721057826,0.033291727894217416
156,Zone 1,3,24,Married,2,20,High school degree,No,Female,Yes,Yes,No,Plus service,No,0,1,0,0,1,2.0,0,0,1,1,0,False,False,True,False,1240.1640756317515,Q1 (Low),<30,0,0,0.750421580256275,0.24957841974372497
157,Zone 2,4,47,Unmarried,5,123,College degree,No,Male,No,Yes,Yes,Basic service,No,0,0,1,0,0,3.0,0,1,0,1,1,True,False,False,False,976.0830770366966,Q4 (High),40-50,0,1,0.6198305701022464,0.3801694298977536
158,Zone 2,15,35,Unmarried,0,34,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,1,0,0,1.0,0,1,0,0,0,True,False,False,False,1296.589560141217,Q2,30-40,0,0,0.7737084175888789,0.22629158241112113
159,Zone 1,25,29,Married,8,31,College degree,No,Female,No,Yes,No,E-service,Yes,1,1,0,0,1,3.0,0,0,0,1,0,False,True,False,False,1708.9995651932825,Q2,<30,0,0,0.9037697814477312,0.09623021855226876
160,Zone 3,21,44,Unmarried,25,47,Did not complete high school,No,Female,No,No,Yes,Plus service,No,0,0,0,1,0,1.0,0,0,0,0,1,False,False,True,False,2174.5599623725557,Q2,40-50,1,0,0.990273888156348,0.009726111843652019
162,Zone 2,65,64,Married,22,13,High school degree,Yes,Female,No,No,Yes,Plus service,No,0,0,1,0,1,2.0,1,0,0,0,1,False,False,True,False,2212.6912661614847,Q1 (Low),50+,1,0,0.9954456496561762,0.0045543503438237876
163,Zone 2,59,52,Married,18,78,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,1,0,1,1.0,0,1,0,0,0,True,False,False,False,2083.453476401522,Q3,50+,0,1,0.9769276104359309,0.023072389564069096
164,Zone 3,29,26,Unmarried,7,34,Did not complete high school,No,Female,No,No,No,Plus service,No,0,0,0,1,0,1.0,0,0,0,0,0,False,False,True,False,1893.2358694320535,Q2,<30,0,0,0.9438958287052356,0.056104171294764416
165,Zone 1,60,46,Unmarried,17,81,Post-undergraduate degree,No,Female,No,Yes,No,E-service,No,0,1,0,0,0,4.0,0,0,0,1,0,False,True,False,False,1864.215139599993,Q3,40-50,0,1,0.9381557635494233,0.061844236450576684
166,Zone 1,71,45,Married,14,86,High school degree,No,Male,No,Yes,No,E-service,No,0,1,0,0,1,2.0,0,1,0,1,0,False,True,False,False,2049.374272429728,Q4 (High),40-50,0,1,0.9715508693865862,0.02844913061341381
167,Zone 3,38,27,Married,0,26,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,0,0,1,1,3.0,0,1,1,1,1,False,False,False,True,1173.8848858839754,Q1 (Low),<30,0,0,0.7210790899344739,0.2789209100655261
168,Zone 3,16,34,Married,5,51,High school degree,No,Female,No,No,No,Basic service,No,0,0,0,1,1,2.0,0,0,0,0,0,True,False,False,False,1651.5559331174234,Q3,30-40,0,1,0.889302972875293,0.11069702712470697
170,Zone 1,59,53,Unmarried,21,112,College degree,No,Male,No,Yes,No,E-service,Yes,1,1,0,0,0,3.0,0,1,0,1,0,False,True,False,False,2032.5616886838143,Q4 (High),50+,0,1,0.9688164241652767,0.03118357583472331
171,Zone 2,22,56,Married,14,57,College degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,1,0,1,3.0,0,1,1,1,1,False,False,False,True,1962.5982260285768,Q3,50+,0,1,0.9568253922560636,0.043174607743936444
172,Zone 1,18,48,Married,20,41,Did not complete high school,No,Female,No,No,No,Basic service,No,0,1,0,0,1,1.0,0,0,0,0,0,True,False,False,False,2083.3843170933183,Q2,40-50,0,0,0.9769169193129922,0.023083080687007818
173,Zone 2,64,46,Married,19,168,High school degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,1,0,1,2.0,0,0,1,1,1,False,False,False,True,2003.9040803658158,Q4 (High),40-50,0,1,0.9640264442550796,0.03597355574492045
174,Zone 2,7,33,Unmarried,4,29,College degree,No,Female,No,Yes,No,Basic service,Yes,1,0,1,0,0,3.0,0,0,0,1,0,True,False,False,False,775.3508966359083,Q1 (Low),30-40,0,0,0.49544424744093896,0.504555752559061
175,Zone 3,65,58,Unmarried,13,167,High school degree,No,Female,No,No,No,E-service,No,0,0,0,1,0,2.0,0,0,0,0,0,False,True,False,False,2185.287700031469,Q4 (High),50+,1,1,0.9917525337243988,0.008247466275601245
176,Zone 3,7,24,Unmarried,5,29,High school degree,No,Male,No,Yes,No,Basic service,Yes,1,0,0,1,0,2.0,0,1,0,1,0,True,False,False,False,721.2724249903197,Q1 (Low),<30,0,0,0.4584657053568311,0.5415342946431689
177,Zone 1,64,55,Unmarried,28,104,Did not complete high school,No,Female,No,No,No,Plus service,No,0,1,0,0,0,1.0,0,0,0,0,0,False,False,True,False,2210.53065332737,Q4 (High),50+,1,1,0.9951587874159299,0.004841212584070109
178,Zone 3,42,22,Married,0,46,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,0,0,1,1,3.0,0,1,1,1,1,False,False,False,True,1064.0183126641516,Q2,<30,0,0,0.6674449398500875,0.33255506014991254
179,Zone 3,33,26,Unmarried,5,46,College degree,No,Female,No,Yes,Yes,Total service,No,0,0,0,1,0,3.0,0,0,0,1,1,False,False,False,True,1306.1924792660145,Q2,<30,0,0,0.7775219780184054,0.2224780219815946
180,Zone 1,3,33,Unmarried,8,51,College degree,No,Female,No,No,No,Basic service,Yes,1,1,0,0,0,3.0,0,0,0,0,0,True,False,False,False,1255.207022913658,Q3,30-40,0,1,0.7567787997703619,0.2432212002296381
181,Zone 2,69,42,Married,11,65,High school degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,1,0,1,2.0,0,1,1,1,1,False,False,False,True,1792.6939020461014,Q3,40-50,0,1,0.9231153589693428,0.07688464103065717
182,Zone 2,9,33,Unmarried,1,48,High school degree,No,Male,No,No,No,Basic service,No,0,0,1,0,0,2.0,0,1,0,0,0,True,False,False,False,1158.8589433276732,Q3,30-40,0,1,0.7141177695997623,0.28588223040023775
184,Zone 2,53,63,Married,15,43,High school degree,No,Male,No,Yes,No,E-service,No,0,0,1,0,1,2.0,0,1,0,1,0,False,True,False,False,2168.955681592901,Q2,50+,1,0,0.989493929989691,0.01050607001030901
185,Zone 3,71,53,Unmarried,30,110,Did not complete high school,No,Male,No,No,No,E-service,No,0,0,0,1,0,1.0,0,1,0,0,0,False,True,False,False,2219.8119316457896,Q4 (High),50+,1,1,0.9963858964624448,0.003614103537555202
188,Zone 1,25,39,Married,1,26,College degree,No,Male,Yes,Yes,No,E-service,Yes,1,1,0,0,1,3.0,0,1,1,1,0,False,True,False,False,1480.363729216685,Q1 (Low),30-40,0,0,0.8396772732787882,0.16032272672121184
189,Zone 3,63,28,Married,9,34,High school degree,No,Female,Yes,No,Yes,Plus service,No,0,0,0,1,1,2.0,0,0,1,0,1,False,False,True,False,1859.6606961010712,Q2,<30,0,0,0.9372364525275175,0.06276354747248247
190,Zone 1,33,54,Married,18,57,College degree,No,Female,No,Yes,Yes,Plus service,Yes,1,1,0,0,1,3.0,0,0,0,1,1,False,False,True,False,2075.725361252152,Q3,50+,0,1,0.975727464456232,0.02427253554376796
191,Zone 2,57,54,Married,20,21,High school degree,No,Female,No,No,No,Basic service,No,0,0,1,0,1,2.0,0,0,0,0,0,True,False,False,False,2094.49824435045,Q1 (Low),50+,0,0,0.9786237116292027,0.021376288370797303
196,Zone 1,17,51,Married,10,95,High school degree,No,Female,No,No,No,Basic service,Yes,1,1,0,0,1,2.0,0,0,0,0,0,True,False,False,False,1955.9453198283175,Q4 (High),50+,0,1,0.9556316837779916,0.04436831622200843
197,Zone 2,22,43,Unmarried,4,114,High school degree,No,Male,No,No,No,Basic service,No,0,0,1,0,0,2.0,0,1,0,0,0,True,False,False,False,1457.1882625790965,Q4 (High),40-50,0,1,0.8321334018724538,0.16786659812754623
199,Zone 3,7,40,Unmarried,9,33,College degree,No,Female,No,Yes,No,Basic service,No,0,0,0,1,0,3.0,0,0,0,1,0,True,False,False,False,1084.419725538315,Q2,30-40,0,0,0.6778895695294098,0.3221104304705902
200,Zone 3,72,66,Unmarried,30,460,College degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,0,1,0,3.0,0,0,1,1,1,False,False,False,True,2136.8025977838192,Q4 (High),50+,1,1,0.9849175795506259,0.015082420449374134
202,Zone 1,24,39,Unmarried,2,122,College degree,No,Male,No,Yes,Yes,Total service,No,0,1,0,0,0,3.0,0,1,0,1,1,False,False,False,True,1391.453953078055,Q4 (High),30-40,0,1,0.8095582807720322,0.19044171922796782
205,Zone 1,38,31,Married,7,187,College degree,No,Male,Yes,No,Yes,Total service,Yes,1,1,0,0,1,3.0,0,1,1,0,1,False,False,False,True,1753.1513224637677,Q4 (High),30-40,0,1,0.9142207523470846,0.08577924765291545
207,Zone 1,72,69,Married,49,44,High school degree,Yes,Female,No,No,No,Plus service,No,0,1,0,0,1,2.0,1,0,0,0,0,False,False,True,False,2242.2343051528105,Q2,50+,1,0,0.9992956649588646,0.0007043350411354288
209,Zone 3,72,64,Unmarried,41,674,College degree,No,Female,Yes,No,Yes,Plus service,No,0,0,0,1,0,3.0,0,0,1,0,1,False,False,True,False,2216.4706591111,Q4 (High),50+,1,1,0.995945681562264,0.00405431843773596
210,Zone 3,52,23,Married,4,33,College degree,No,Female,No,No,Yes,Plus service,No,0,0,0,1,1,3.0,0,0,0,0,1,False,False,True,False,1783.6326122222551,Q2,<30,0,0,0.9211147853898971,0.0788852146101029
211,Zone 3,13,55,Unmarried,3,250,High school degree,No,Female,No,No,No,Basic service,No,0,0,0,1,0,2.0,0,0,0,0,0,True,False,False,False,1774.631944840689,Q4 (High),50+,0,1,0.9191056334226224,0.08089436657737759
212,Zone 1,3,33,Unmarried,6,64,College degree,No,Male,No,No,No,Basic service,Yes,1,1,0,0,0,3.0,0,1,0,0,0,True,False,False,False,1145.7093279960864,Q3,30-40,0,1,0.7079299764606891,0.2920700235393109
213,Zone 3,39,24,Married,2,26,High school degree,No,Male,No,No,No,Basic service,Yes,1,0,0,1,1,2.0,0,1,0,0,0,True,False,False,False,1311.7257929774003,Q1 (Low),<30,0,0,0.7797000485113369,0.2202999514886631
215,Zone 2,46,42,Unmarried,9,52,College degree,No,Male,No,No,No,E-service,No,0,0,1,0,0,3.0,0,1,0,0,0,False,True,False,False,1986.7494797824472,Q3,40-50,0,1,0.9610792099245224,0.03892079007547755
217,Zone 2,23,33,Married,7,28,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0,1,0,1,1.0,0,1,0,0,1,False,False,True,False,2028.5225151789678,Q1 (Low),30-40,0,0,0.968151229816331,0.03184877018366905
218,Zone 3,23,25,Married,5,19,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,0,0,1,1,4.0,0,1,1,1,1,False,False,False,True,1134.4543368620816,Q1 (Low),<30,0,0,0.702562179956135,0.297437820043865
220,Zone 3,56,60,Unmarried,26,70,High school degree,No,Male,No,No,No,Basic service,No,0,0,0,1,0,2.0,0,1,0,0,0,True,False,False,False,2094.9779717809047,Q3,50+,0,1,0.9786968761505181,0.021303123849481853
221,Zone 1,8,30,Unmarried,1,34,High school degree,No,Female,No,No,Yes,Plus service,No,0,1,0,0,0,2.0,0,0,0,0,1,False,False,True,False,1664.4588541221283,Q2,<30,0,0,0.8926412459473474,0.1073587540526526
222,Zone 3,3,36,Unmarried,7,34,Post-undergraduate degree,No,Female,Yes,No,Yes,Total service,No,0,0,0,1,0,4.0,0,0,1,0,1,False,False,False,True,1624.3712868784132,Q2,30-40,0,0,0.8820955850609618,0.11790441493903825
224,Zone 3,37,53,Married,13,48,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0,0,1,1,1.0,0,1,0,0,1,False,False,True,False,2191.4333007887635,Q3,50+,1,1,0.9925911915915793,0.007408808408420731
225,Zone 2,6,30,Unmarried,9,45,High school degree,No,Female,No,No,No,Basic service,Yes,1,0,1,0,0,2.0,0,0,0,0,0,True,False,False,False,1349.9606266563455,Q2,<30,0,0,0.7943700289739238,0.20562997102607616
227,Zone 2,43,43,Married,3,55,College degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,1,0,1,3.0,0,0,1,1,1,False,False,False,True,1601.241925449038,Q3,40-50,0,1,0.8757726889054095,0.12422731109459051
228,Zone 2,21,29,Unmarried,7,40,College degree,No,Female,No,Yes,Yes,Basic service,No,0,0,1,0,0,3.0,0,0,0,1,1,True,False,False,False,714.3345693190797,Q2,<30,0,0,0.4536283221921757,0.5463716778078243
230,Zone 2,69,51,Unmarried,18,96,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0,1,0,0,1.0,0,1,0,0,1,False,False,True,False,2151.2074220510863,Q4 (High),50+,1,1,0.9869894179532281,0.013010582046771857
231,Zone 1,22,33,Unmarried,9,54,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,1,0,0,0,1.0,0,1,0,0,1,False,False,True,False,1902.0408182634844,Q3,30-40,0,1,0.9455978422863216,0.0544021577136784
232,Zone 1,28,40,Married,1,47,High school degree,No,Female,No,No,Yes,Plus service,No,0,1,0,0,1,2.0,0,0,0,0,1,False,False,True,False,1997.9589154554335,Q2,30-40,0,0,0.9630119172776821,0.036988082722317905
233,Zone 1,71,47,Married,23,142,Did not complete high school,No,Male,No,No,No,E-service,No,0,1,0,0,1,1.0,0,1,0,0,0,False,True,False,False,2212.611403791632,Q4 (High),40-50,1,1,0.9954350594201422,0.00456494057985779
234,Zone 2,7,37,Unmarried,5,57,College degree,No,Male,No,No,No,Basic service,No,0,0,1,0,0,3.0,0,1,0,0,0,True,False,False,False,1229.3745194218411,Q3,30-40,0,1,0.7457939245518298,0.2542060754481702
236,Zone 2,53,57,Unmarried,25,37,Did not complete high school,No,Male,No,No,Yes,E-service,No,0,0,1,0,0,1.0,0,1,0,0,1,False,True,False,False,2208.7479670375346,Q2,50+,1,0,0.9949215510216515,0.0050784489783485265
237,Zone 2,50,52,Married,17,36,College degree,No,Male,Yes,No,Yes,Total service,No,0,0,1,0,1,3.0,0,1,1,0,1,False,False,False,True,2120.6895575138215,Q2,50+,1,0,0.9825576397394936,0.017442360260506384
238,Zone 2,39,31,Married,6,24,College degree,No,Male,No,No,Yes,Total service,No,0,0,1,0,1,3.0,0,1,0,0,1,False,False,False,True,1913.6678517962903,Q1 (Low),30-40,0,0,0.9478177559012081,0.05218224409879191
239,Zone 3,16,19,Unmarried,0,21,High school degree,No,Female,No,No,No,Basic service,No,0,0,0,1,0,2.0,0,0,0,0,0,True,False,False,False,940.8429519016524,Q1 (Low),<30,0,0,0.599557548005506,0.400442451994494
241,Zone 3,44,31,Unmarried,12,30,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0,0,1,0,1.0,0,0,0,0,0,True,False,False,False,1605.0809945109736,Q2,30-40,0,0,0.8768345374696987,0.12316546253030125
242,Zone 2,72,66,Married,43,96,High school degree,No,Female,Yes,No,Yes,Total service,No,0,0,1,0,1,2.0,0,0,1,0,1,False,False,False,True,2237.399539565343,Q4 (High),50+,1,1,0.9986747301841531,0.0013252698158469078
243,Zone 3,61,76,Unmarried,39,15,Did not complete high school,Yes,Male,No,No,Yes,Plus service,No,0,0,0,1,0,1.0,1,1,0,0,1,False,False,True,False,2236.951840633935,Q1 (Low),50+,1,0,0.9986170528605801,0.0013829471394198878
244,Zone 3,43,21,Married,1,25,Did not complete high school,No,Male,No,Yes,Yes,E-service,Yes,1,0,0,1,1,1.0,0,1,0,1,1,False,True,False,False,1568.4908553209593,Q1 (Low),<30,0,0,0.8665096492508119,0.13349035074918814
246,Zone 3,64,45,Unmarried,4,38,High school degree,No,Female,Yes,No,Yes,Plus service,Yes,1,0,0,1,0,2.0,0,0,1,0,1,False,False,True,False,1846.5216534182646,Q2,40-50,0,0,0.9345556955746757,0.06544430442532434
247,Zone 2,64,38,Unmarried,0,29,High school degree,No,Male,No,No,No,E-service,No,0,0,1,0,0,2.0,0,1,0,0,0,False,True,False,False,1876.5090505203495,Q1 (Low),30-40,0,0,0.9406120731880749,0.05938792681192506
248,Zone 1,24,26,Unmarried,7,55,High school degree,No,Female,No,No,No,Basic service,No,0,1,0,0,0,2.0,0,0,0,0,0,True,False,False,False,1192.2022434015914,Q3,<30,0,1,0.7294089960070894,0.2705910039929106
250,Zone 2,33,33,Married,12,42,College degree,No,Female,Yes,No,No,E-service,No,0,0,1,0,1,3.0,0,0,1,0,0,False,True,False,False,1968.3417019241915,Q2,30-40,0,0,0.957848250977944,0.042151749022055984
251,Zone 1,2,40,Unmarried,9,134,College degree,No,Male,No,Yes,No,Basic service,No,0,1,0,0,0,3.0,0,1,0,1,0,True,False,False,False,959.28531014179,Q4 (High),30-40,0,1,0.610252210122056,0.389747789877944
252,Zone 2,42,48,Married,22,82,Did not complete high school,No,Female,No,Yes,Yes,Total service,No,0,0,1,0,1,1.0,0,0,0,1,1,False,False,False,True,2155.8630798261024,Q3,40-50,1,1,0.9876514999554963,0.012348500044503719
253,Zone 1,52,54,Married,5,153,Post-undergraduate degree,No,Male,Yes,Yes,No,E-service,Yes,1,1,0,0,1,4.0,0,1,1,1,0,False,True,False,False,1760.7367219540397,Q4 (High),50+,0,1,0.9159603514718035,0.08403964852819645
254,Zone 1,45,66,Unmarried,43,144,High school degree,No,Female,No,Yes,No,E-service,No,0,1,0,0,0,2.0,0,0,0,1,0,False,True,False,False,2223.1894202167864,Q4 (High),50+,1,1,0.9968291247570193,0.003170875242980653
255,Zone 3,3,25,Unmarried,4,22,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,0,0,1,0,3.0,0,1,1,1,1,False,False,False,True,956.9805983882953,Q1 (Low),<30,0,0,0.6089259251033371,0.3910740748966629
256,Zone 2,37,53,Married,16,35,Did not complete high school,No,Female,No,No,Yes,Plus service,No,0,0,1,0,1,1.0,0,0,0,0,1,False,False,True,False,2200.546534188792,Q2,50+,1,0,0.9938236681322619,0.0061763318677381385
257,Zone 2,28,57,Unmarried,33,82,College degree,No,Female,Yes,Yes,Yes,E-service,Yes,1,0,1,0,0,3.0,0,0,1,1,1,False,True,False,False,2091.4175307771798,Q3,50+,0,1,0.9781528645857237,0.021847135414276297
258,Zone 3,40,63,Married,9,61,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,0,1,1,1.0,0,1,0,0,0,True,False,False,False,2107.2753528650364,Q3,50+,0,1,0.9805581671653204,0.019441832834679595
259,Zone 2,37,33,Unmarried,1,102,High school degree,No,Male,No,Yes,No,Total service,No,0,0,1,0,0,2.0,0,1,0,1,0,False,False,False,True,1427.2237284082396,Q4 (High),30-40,0,1,0.8220627709608722,0.1779372290391278
261,Zone 1,71,56,Unmarried,23,170,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,0,1,0,0,0,1.0,0,0,1,0,1,False,False,False,True,2172.16769864786,Q4 (High),50+,1,1,0.9899415854121862,0.010058414587813758
262,Zone 2,19,46,Unmarried,11,26,High school degree,No,Female,No,Yes,No,Basic service,No,0,0,1,0,0,2.0,0,0,0,1,0,True,False,False,False,1331.387407699044,Q1 (Low),40-50,0,0,0.7873261889638868,0.21267381103611316
264,Zone 3,70,53,Married,16,183,High school degree,No,Female,No,No,No,E-service,No,0,0,0,1,1,2.0,0,0,0,0,0,False,True,False,False,2210.8791834696217,Q4 (High),50+,1,1,0.9952051108510075,0.004794889148992509
265,Zone 2,60,55,Married,13,67,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0,1,0,1,1.0,0,0,0,0,0,True,False,False,False,2084.647838605724,Q3,50+,0,1,0.9771121039818356,0.022887896018164433
266,Zone 3,48,45,Married,5,42,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0,0,1,1,1.0,0,0,0,0,0,True,False,False,False,1917.3122898567383,Q2,40-50,0,0,0.9485071734376899,0.051492826562310134
267,Zone 1,8,63,Married,1,31,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,1,0,0,1,1.0,0,1,0,0,1,False,False,True,False,2170.2319257666973,Q2,50+,1,0,0.9896720027009515,0.010327997299048541
268,Zone 2,58,58,Married,10,96,High school degree,No,Male,No,No,No,Plus service,No,0,0,1,0,1,2.0,0,1,0,0,0,False,False,True,False,2181.593940369788,Q4 (High),50+,1,1,0.9912455256081908,0.008754474391809208
270,Zone 2,33,33,Unmarried,4,53,High school degree,No,Female,No,No,No,Basic service,No,0,0,1,0,0,2.0,0,0,0,0,0,True,False,False,False,1293.9182620277645,Q3,30-40,0,1,0.7726399634551306,0.22736003654486936
271,Zone 2,39,25,Unmarried,4,18,Did not complete high school,No,Female,No,No,No,Plus service,No,0,0,1,0,0,1.0,0,0,0,0,0,False,False,True,False,1790.344089694013,Q1 (Low),<30,0,0,0.9225986783817065,0.0774013216182935
272,Zone 1,62,51,Unmarried,10,43,College degree,No,Male,No,Yes,No,E-service,No,0,1,0,0,0,3.0,0,1,0,1,0,False,True,False,False,1860.7954173234575,Q2,50+,0,0,0.9374659705252569,0.06253402947474307
274,Zone 2,48,55,Unmarried,31,26,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,1,0,0,1.0,0,1,0,0,0,True,False,False,False,2116.642987777604,Q1 (Low),50+,1,0,0.9819578328247685,0.01804216717523155
275,Zone 3,31,62,Unmarried,5,56,High school degree,No,Female,Yes,No,Yes,Plus service,No,0,0,0,1,0,2.0,0,0,1,0,1,False,False,True,False,2058.3372473529926,Q3,50+,0,1,0.9729862837781438,0.02701371622185622
276,Zone 2,65,33,Married,9,49,High school degree,No,Male,No,No,Yes,E-service,No,0,0,1,0,1,2.0,0,1,0,0,1,False,True,False,False,2046.305335452419,Q3,30-40,0,1,0.9710558301600842,0.028944169839915768
277,Zone 1,36,58,Unmarried,34,80,Did not complete high school,No,Female,No,No,No,E-service,No,0,1,0,0,0,1.0,0,0,0,0,0,False,True,False,False,2229.790734617477,Q3,50+,1,1,0.9976903416067285,0.002309658393271463
